student_id,gender,study_hours_per_day,social_media_hours,mental_health_rating
100000,Male,7.64536653374835,3.0,6.0
100001,Male,5.7,0.5,6.8
100002,Male,2.4,4.2,5.7
100003,Other,3.4,4.6,8.5
100004,Female,4.7,0.8,9.2
100005,Female,4.2,0.5,9.2
100006,Male,4.1,2.4,5.8
100007,Male,4.1,3.2,4.8
100008,Female,0.6,0.3,3.5
100009,Male,5.2,1.1,5.9
100010,Other,0.0,2.7,7.8
100011,Other,3.9,3.2,4.0
100012,Female,4.7,3.3,5.6
100013,Female,7.4,3.2,8.1
100014,Male,5.5,3.1,7.300000000000001
100015,Female,3.52759548740777,0.1,10.0
100016,Male,5.0,4.5,9.9
100017,Female,3.7,2.1,5.8
100018,Male,2.6,0.5,9.6
100019,Male,3.9,3.8,7.9
100020,Other,3.9,1.3,8.1
100021,Other,2.0,1.0,6.4
100022,Other,5.8,3.4,7.3
100023,Male,3.279126215564136,3.8,9.3
100024,Other,6.1,1.3,1.7999999999999998
100025,Male,4.4,2.1,7.4
100026,Other,6.2,0.4,10.0
100027,Other,3.6,3.8,8.7
100028,Female,4.0,1.0,4.7
100029,Female,3.837869655105928,3.8,4.5
100030,Other,7.606317651242962,4.0,5.1
100031,Male,4.1,2.3,5.2
100032,Other,4.7,4.1,6.6
100033,Other,5.1,3.8,5.4
100034,Female,5.3,0.6,6.7
100035,Other,6.7,1.2,7.8
100036,Male,3.4,2.1,8.8
100037,Female,7.2,3.5,4.5
100038,Other,2.4,3.2,9.8
100039,Other,7.4,1.5,3.8
100040,Male,6.4,0.8,5.0
100041,Other,1.2,3.7,8.1
100042,Other,5.9,0.7,7.3
100043,Female,4.0,3.4,8.5
100044,Other,7.4,4.5,6.1
100045,Other,0.5,1.4,8.8
100046,Female,8.205205575142877,4.1,9.0
100047,Male,4.3,3.7,4.8
100048,Female,3.1,4.5,8.8
100049,Male,0.8,2.0,4.4
100050,Female,7.3,2.1,7.0
100051,Male,5.3,1.5,6.5
100052,Female,4.0,0.4,5.3
100053,Male,4.4,1.4,7.4
100054,Other,5.8,4.0,9.5
100055,Male,7.447689835997439,0.5,5.5
100056,Other,1.2,4.0,9.6
100057,Other,5.003501877270392,4.5,9.2
100058,Other,4.523733655002461,3.3,5.4
100059,Female,2.2,1.7,5.5
100060,Male,3.3,2.2,3.4
100061,Female,2.1,4.7,9.0
100062,Female,5.130825904749953,4.2,8.6
100063,Other,5.1,3.2,9.2
100064,Other,4.4,1.9,3.8
100065,Other,4.4,1.5,7.3
100066,Female,0.0,1.7,8.1
100067,Other,2.0,3.6,10.0
100068,Female,3.2050948288547856,3.4,5.5
100069,Male,6.0,0.6,6.7
100070,Other,4.4,2.5,6.6
100071,Male,6.5,3.2,8.7
100072,Male,1.7,0.8,8.1
100073,Other,2.2,3.4,5.8
100074,Male,5.4,1.9,3.5
100075,Male,6.2,4.4,5.6
100076,Other,3.6,4.9,6.3
100077,Female,3.2,3.1,7.1
100078,Other,2.8211828352491244,3.9,8.8
100079,Other,2.1,4.8,3.9
100080,Female,0.0,3.6,8.7
100081,Other,6.5,1.2,6.9
100082,Other,1.3,0.4,7.5
100083,Male,2.7,0.6,5.0
100084,Other,6.9467355218064535,1.3,5.2
100085,Female,0.0,1.9,6.3
100086,Other,1.2,3.6,2.9
100087,Male,3.2,0.3,7.0
100088,Male,3.2,4.9,6.0
100089,Male,5.497784896731553,3.5,7.1
100090,Male,8.5,4.4,2.8
100091,Other,6.2,4.8,6.4
100092,Other,6.657019760526673,0.1,8.8
100093,Other,5.7,4.0,8.4
100094,Other,1.2,2.5,8.7
100095,Male,5.8,0.3,7.6
100096,Female,6.1,1.2,10.0
100097,Other,2.4028451500191057,0.4,3.9
100098,Female,1.1,3.6,3.5
100099,Male,5.6,5.0,6.1
100100,Other,5.7,1.8,7.0
100101,Male,1.0,0.8,6.0
100102,Male,1.1,2.2,5.7
100103,Other,5.9,3.0,5.4
100104,Female,6.3,2.0,6.0
100105,Female,5.5,2.6,7.5
100106,Male,4.5,1.7,10.0
100107,Female,5.1,2.2,9.0
100108,Female,5.6,3.2,10.0
100109,Male,3.0,3.2,3.6
100110,Other,5.2,0.4,6.1
100111,Other,3.7,1.2,5.8
100112,Female,3.0,2.7,8.4
100113,Other,3.1,3.2,2.8
100114,Male,0.0,4.1,9.0
100115,Female,7.493339984525651,1.8,6.5
100116,Other,3.2,1.1,7.0
100117,Female,4.8,3.8,8.3
100118,Other,8.0,4.8,10.0
100119,Female,5.989289998993092,2.5,10.0
100120,Male,0.0,1.2,9.3
100121,Other,4.3,4.4,6.2
100122,Female,3.4,4.3,7.0
100123,Female,6.782306870620903,4.2,9.4
100124,Other,1.3,3.5,10.0
100125,Male,4.9,4.1,8.0
100126,Male,2.0,2.7,6.1
100127,Female,7.8,2.8,5.2
100128,Other,5.8,0.6,2.1
100129,Male,4.4,3.1,4.8
100130,Male,2.0,0.9,8.0
100131,Other,5.33810510112067,1.8,6.3
100132,Male,4.602424444588155,4.3,6.8
100133,Female,2.1,1.9,6.1
100134,Male,0.6,4.1,3.4
100135,Female,1.3,3.9,6.0
100136,Other,6.489753270404044,0.8,6.7
100137,Male,2.4,0.5,4.5
100138,Male,4.2,0.3,10.0
100139,Other,6.5,2.6,6.7
100140,Other,1.6,4.3,6.0
100141,Male,1.3,0.2,4.9
100142,Female,0.5,1.3,2.4
100143,Female,4.0,4.6,6.8
100144,Other,4.6,4.3,3.8
100145,Other,8.058998018890609,1.1,8.5
