student_id,exam_score,dropout_risk
100000,100,No
100001,99,No
100002,98,No
100003,100,No
100004,98,No
100005,94,No
100006,97,No
100007,84,No
100008,70,No
100009,100,No
100010,100,No
100011,100,No
100012,96,No
100013,83,No
100014,77,No
100015,87,No
100016,100,No
100017,93,No
100018,88,No
100019,92,No
100020,60,No
100021,82,No
100022,100,No
100023,100,No
100024,80,Yes
100025,89,No
100026,92,No
100027,88,No
100028,95,No
100029,100,No
100030,100,No
100031,93,No
100032,94,No
100033,76,No
100034,100,No
100035,89,No
100036,86,No
100037,100,No
100038,100,No
100039,100,No
100040,80,No
100041,91,No
100042,100,No
100043,96,No
100044,100,No
100045,78,No
100046,99,No
100047,100,No
100048,84,No
100049,84,No
100050,79,Yes
100051,88,No
100052,98,No
100053,70,No
100054,100,No
100055,98,No
100056,79,No
100057,88,No
100058,96,No
100059,100,No
100060,97,No
100061,100,No
100062,75,No
100063,96,No
100064,99,No
100065,83,No
100066,76,No
100067,79,No
100068,86,No
100069,97,No
100070,96,No
100071,85,No
100072,99,No
100073,100,No
100074,100,No
100075,98,No
100076,77,No
100077,100,No
100078,100,No
100079,70,No
100080,96,No
100081,100,No
100082,53,No
100083,96,No
100084,100,No
100085,100,No
100086,100,No
100087,94,No
100088,75,No
100089,100,No
100090,94,No
100091,83,No
100092,97,No
100093,96,No
100094,73,No
100095,84,No
100096,97,No
100097,72,No
100098,88,No
100099,92,No
100100,100,No
100101,92,No
100102,92,No
100103,71,No
100104,100,No
100105,76,No
100106,89,No
100107,100,No
100108,80,No
100109,94,No
100110,95,No
100111,93,No
100112,100,No
100113,100,No
100114,69,No
100115,65,No
100116,89,No
100117,100,No
100118,93,Yes
100119,90,No
100120,63,No
100121,92,No
100122,86,No
100123,100,No
100124,98,No
100125,97,No
100126,74,No
100127,97,No
100128,80,No
100129,99,No
100130,93,No
100131,94,No
100132,87,No
100133,75,No
100134,58,No
100135,84,No
100136,99,No
100137,68,No
100138,100,No
100139,100,No
100140,98,No
100141,50,No
100142,72,No
100143,93,No
100144,100,No
100145,87,No
100146,87,No
100147,98,No
100148,84,No
100149,100,No
100150,100,No
100151,100,No
100152,73,No
100153,100,No
100154,94,No
100155,84,No
100156,100,No
100157,60,Yes
100158,100,No
100159,96,No
100160,100,No
100161,79,No
100162,97,No
100163,97,No
100164,96,No
100165,100,No
100166,100,No
100167,82,No
100168,100,No
100169,68,No
100170,91,No
100171,92,No
100172,93,No
100173,100,No
100174,96,No
100175,96,No
100176,58,No
100177,93,No
100178,97,No
100179,76,No
100180,76,No
100181,81,No
100182,100,No
100183,61,No
100184,65,No
100185,100,No
100186,72,No
100187,96,No
100188,100,No
100189,100,No
100190,100,No
100191,88,No
100192,96,No
100193,73,No
100194,100,No
100195,90,No
100196,93,No
100197,79,No
100198,90,No
100199,83,No
100200,65,No
100201,100,No
100202,100,No
100203,100,No
100204,98,No
100205,75,No
100206,97,No
100207,100,No
100208,98,No
100209,92,No
100210,82,No
100211,88,No
100212,82,No
100213,85,No
100214,100,No
100215,98,No
100216,100,No
100217,63,No
100218,91,No
100219,100,No
100220,91,No
100221,100,No
100222,88,No
100223,90,No
100224,89,No
100225,93,No
100226,92,No
100227,90,No
100228,79,No
100229,79,No
100230,100,No
100231,100,No
100232,91,No
100233,99,No
100234,81,No
100235,96,No
100236,97,No
100237,100,No
100238,92,No
100239,100,Yes
100240,83,Yes
100241,99,No
100242,80,No
100243,93,No
100244,100,No
100245,93,No
100246,96,No
100247,94,No
100248,80,No
100249,95,No
100250,95,No
100251,70,No
100252,97,No
100253,100,No
100254,81,No
100255,71,No
100256,74,No
100257,95,No
100258,91,No
100259,95,No
100260,91,No
